#separator:Tab
#html:true
#columns:word	sentence	translation	additional translations	wiktionary link	attributions
对	<b>对</b>！	That's right.		https://en.m.wiktionary.org/wiki/對#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1216015 (AlanRominger) & #4952918 (murr)
不	<b>不</b>对。	It's wrong.	That's wrong.<br>It's not right.<br>That isn't right.<br>That's not right.	https://en.m.wiktionary.org/wiki/不#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1537010 (Spamster) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2111384 (CK) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1723740 (Spamster) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2250119 (CK) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2251164 (CK) & #10961087 (xjjAstrus)
可能	不<b>可能</b>！	No way!	It can't be!	https://en.m.wiktionary.org/wiki/可能#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CM) & #503298 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1501 (CK) & #503298 (fucongcong)
的	不可能<b>的</b>。	That can't be it.		https://en.m.wiktionary.org/wiki/的#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3439587 (CK) & #9962371 (GlossaMatik)
这	<b>这</b>不可能！	It can't be!		https://en.m.wiktionary.org/wiki/這#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1501 (CK) & #334699 (fucongcong)
真的	<b>真的</b>？	Is that true?		https://en.m.wiktionary.org/wiki/真的#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #322153 (CK) & #1397360 (mtdot)
不是	这<b>不是</b>真的。	This is not true.		https://en.m.wiktionary.org/wiki/不是#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #370573 (saeb) & #409219 (GlossaMatik)
我	不是<b>我</b>的。	It's not mine.		https://en.m.wiktionary.org/wiki/我#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1894573 (CK) & #5673830 (xjjAstrus)
你	<b>你</b>不是我。	You're not me.		https://en.m.wiktionary.org/wiki/你#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2218273 (CK) & #5341690 (xjjAstrus)
是	这可能<b>是</b>真的，可能不是。	It may or may not be true.		https://en.m.wiktionary.org/wiki/是#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #42095 (CK) & #336680 (fucongcong)
嗎	真的是可能的<b>嗎</b>？	Is it really possible?		https://en.m.wiktionary.org/wiki/嗎#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1538643 (CM) & #4455714 (egg0073)
有	你<b>有</b>嗎？	Do you have one?	Do you have some?	https://en.m.wiktionary.org/wiki/有#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16547 (CK) & #793230 (Martha)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #10061387 (DJ_Saidez) & #793230 (Martha)
吗	你是对的<b>吗</b>？	Were you right?		https://en.m.wiktionary.org/wiki/嗎#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2254510 (CK) & #5640753 (verdastelo9604)
他	<b>他</b>对吗？	Is he right?	Is he correct?	https://en.m.wiktionary.org/wiki/他#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #300372 (CK) & #9953366 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2840611 (CK) & #9953366 (GlossaMatik)
在	你<b>在</b>吗？	Are you there?		https://en.m.wiktionary.org/wiki/在#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #30970 (CK) & #479053 (GlossaMatik)
汤姆	<b>汤姆</b>在吗？	Is Tom there?	Is Tom around?	https://en.m.wiktionary.org/wiki/湯姆#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1886873 (CK) & #8696442 (morningstar)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2244578 (CK) & #8696442 (morningstar)
做	你<b>做</b>吗?	Have you done it?		https://en.m.wiktionary.org/wiki/做#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2280859 (ichivivi20) & #6850334 (mao)
湯姆	可能是<b>湯姆</b>做的。	Maybe Tom did that.		https://en.m.wiktionary.org/wiki/湯姆#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6233843 (CK) & #10040363 (verdastelo9604)
知道	我<b>知道</b>你<b>知道</b>我<b>知道</b>。	I know that you know that I know.		https://en.m.wiktionary.org/wiki/知道#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #764169 (darinmex) & #765609 (Martha)
了	我知道他做<b>了</b>。	I know what he did.		https://en.m.wiktionary.org/wiki/瞭#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1031147 (Brian255) & #846749 (fucongcong)
我们	<b>我们</b>知道。	We know.	We know that.<br>We know this.	https://en.m.wiktionary.org/wiki/我們#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1556167 (shanghainese) & #5102291 (mirrorvan)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2241138 (CK) & #5102291 (mirrorvan)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2241139 (CK) & #5102291 (mirrorvan)
想	你<b>想</b>知道嗎？	Do you want to know?		https://en.m.wiktionary.org/wiki/想#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2011466 (CK) & #4741982 (egg0073)
去	你想<b>去</b>嗎？	Would you like to go?		https://en.m.wiktionary.org/wiki/去#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #69445 (CK) & #846002 (Martha)
我們	<b>我們</b>想知道。	We want to know.		https://en.m.wiktionary.org/wiki/我們#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2011326 (CK) & #4742019 (egg0073)
什么	我对汤姆做了<b>什么</b>？	What have I ever done to Tom?		https://en.m.wiktionary.org/wiki/什麼#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3394342 (CK) & #5983629 (verdastelo9604)
都	我什么<b>都</b>不知道。	I don't know anything.		https://en.m.wiktionary.org/wiki/都#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #370605 (saeb) & #8709506 (crescat)
人	你是<b>人</b>。	You're a person.		https://en.m.wiktionary.org/wiki/人#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #433601 (CM) & #335261 (fucongcong)
要	你<b>要</b>我们做什么？	What did you want us to do?		https://en.m.wiktionary.org/wiki/要#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1886774 (CK) & #10083941 (ColawithIce)
到	他<b>到</b>了吗?	Has he arrived yet?		https://en.m.wiktionary.org/wiki/到#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #293110 (CK) & #8761488 (crescat)
什麼	我不知道要做<b>什麼</b>。	I didn't know what to do.		https://en.m.wiktionary.org/wiki/什麼#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #255152 (CK) & #919751 (Martha)
她	<b>她</b>在做什麼？	What's she doing?		https://en.m.wiktionary.org/wiki/她#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #388890 (CK) & #826129 (Martha)
能	湯姆不知道他<b>能</b>做什麼。	Tom wondered what he could do.		https://en.m.wiktionary.org/wiki/能#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2642843 (CK) & #5907493 (verdastelo9604)
說	你知道他<b>說</b>了什麼嗎？	Do you know what he said?		https://en.m.wiktionary.org/wiki/說#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #283431 (CK) & #838645 (Martha)
把	<b>把</b>我們想知道的都說說。	Now tell us what we want to know.		https://en.m.wiktionary.org/wiki/把#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3729413 (CM) & #5574656 (verdastelo9604)
就	你想說<b>就</b>說。	If you have something to say, just say it.		https://en.m.wiktionary.org/wiki/就#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4717633 (xorgy) & #5900403 (verdastelo9604)
吃	你想<b>吃</b>什么？	What do you want to eat?	What would you like to eat?	https://en.m.wiktionary.org/wiki/吃#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #372015 (saeb) & #419672 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #400191 (sysko) & #419672 (GlossaMatik)
可以	我想我<b>可以</b>。	I think I can.		https://en.m.wiktionary.org/wiki/可以#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #433759 (CK) & #819370 (Martha)
這個	你想吃<b>這個</b>嗎？	Do you want to eat this?		https://en.m.wiktionary.org/wiki/這個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3154872 (CK) & #6057668 (xjjAstrus)
工作	你做什么<b>工作</b>？	What is your occupation?		https://en.m.wiktionary.org/wiki/工作#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #731142 (CM) & #3378243 (GlossaMatik)
您	<b>您</b>有什么？	What do you have?		https://en.m.wiktionary.org/wiki/您#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #69589 (CK) & #335327 (fucongcong)
说	我不知道<b>说</b>什么。	I don't know what to say.		https://en.m.wiktionary.org/wiki/說#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #436541 (lukaszpp) & #426418 (fucongcong)
好	他不知道说什么<b>好</b>。	He did not know what to say.		https://en.m.wiktionary.org/wiki/好#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #292310 (CK) & #1450499 (asosan)
很	我对汤姆说我<b>很</b>好。	I told Tom I was OK.		https://en.m.wiktionary.org/wiki/很#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2548419 (CK) & #3338910 (sadhen)
他們	<b>他們</b>在說什麼？	What are they saying?		https://en.m.wiktionary.org/wiki/他們#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2646763 (CK) & #6057719 (xjjAstrus)
來	他不可能<b>來</b>。	There's no possibility of his coming.		https://en.m.wiktionary.org/wiki/來#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #284303 (CK) & #890596 (Martha)
没有	知道了<b>没有</b>？	Got it?		https://en.m.wiktionary.org/wiki/沒有#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (CM) & #455357 (GlossaMatik)
一个	他是<b>一个</b> DJ 。	He's a DJ.	He is a DJ.	https://en.m.wiktionary.org/wiki/一個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1383444 (CK) & #1878329 (sadhen)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #288669 (CK) & #1878329 (sadhen)
看	你在<b>看</b>他吗?	Were you looking at him?		https://en.m.wiktionary.org/wiki/看#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1890700 (Spamster) & #10271704 (miaojiandao)
一個	我們要<b>一個</b>。	We want one.		https://en.m.wiktionary.org/wiki/一個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2241471 (CK) & #6057679 (xjjAstrus)
得	你做<b>得</b>很好。	You have done very well.		https://en.m.wiktionary.org/wiki/得#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16749 (CK) & #844599 (Martha)
那	<b>那</b>不可能是真的。	It can't be true.		https://en.m.wiktionary.org/wiki/那#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #42088 (CK) & #346766 (fucongcong)
它	<b>它</b>是什么？	What is it?		https://en.m.wiktionary.org/wiki/它#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #42849 (brauliobezerra) & #4887708 (musclegirlxyp)
喜欢	汤姆知道我不<b>喜欢</b>他。	Tom knows that I don't like him.		https://en.m.wiktionary.org/wiki/喜歡#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3950960 (CK) & #5863311 (verdastelo9604)
沒	不，我<b>沒</b>去。	No, I didn't go.		https://en.m.wiktionary.org/wiki/沒#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #516735 (CK) & #819356 (Martha)
会	我可能<b>会</b>说是。	I might say yes.		https://en.m.wiktionary.org/wiki/會#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2387228 (CK) & #5945148 (verdastelo9604)
给	那你会<b>给</b>我什么？	So, what'll you give me?		https://en.m.wiktionary.org/wiki/給#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3151306 (CK) & #5663560 (verdastelo9604)
这个	我不喜欢<b>这个</b>。	I don't like this one.		https://en.m.wiktionary.org/wiki/這個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #55765 (CK) & #465928 (fucongcong)
跟	我不<b>跟</b>你要好了。	I'm going to stop trying to be friendly with you.		https://en.m.wiktionary.org/wiki/跟#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1970219 (CK) & #2637077 (cienias)
他们	我知道<b>他们</b>要做什么。	I know what they're going to do.		https://en.m.wiktionary.org/wiki/他們#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2376327 (CK) & #9958570 (GlossaMatik)
對	我知道你是<b>對</b>的。	I know that you're right.		https://en.m.wiktionary.org/wiki/對#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6269420 (CK) & #6628367 (verdastelo9604)
喜歡	你<b>喜歡</b>它，不是嗎？	You like it, don't you?		https://en.m.wiktionary.org/wiki/喜歡#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #405517 (CK) & #842260 (Martha)
需要	他們不<b>需要</b>知道。	They don't have to know.		https://en.m.wiktionary.org/wiki/需要#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1667062 (Spamster) & #4742002 (egg0073)
今天	你<b>今天</b>要做什麼?	What are you going to do today?		https://en.m.wiktionary.org/wiki/今天#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #242789 (CK) & #905856 (Martha)
事	你做的<b>事</b>我都喜歡。	I like everything you do.		https://en.m.wiktionary.org/wiki/事#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #8183608 (lucasmg123) & #9480709 (verdastelo9604)
讓	<b>讓</b>我一個人去。	Let me go alone.		https://en.m.wiktionary.org/wiki/讓#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #27652 (CK) & #825893 (Martha)
个	汤姆是<b>个</b>很好的人。	Tom is a real good man.	Tom is a very good man.<br>Tom is a very good person.	https://en.m.wiktionary.org/wiki/個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5825566 (CK) & #8463545 (gumblex)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #5155173 (CK) & #8463545 (gumblex)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #6776955 (shekitten) & #8463545 (gumblex)
請	<b>請</b>讓我們知道。	Please let us know.		https://en.m.wiktionary.org/wiki/請#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #64230 (CK) & #4742029 (egg0073)
让	他<b>让</b>我做，我就做了。	He told me to do it, so I did it.		https://en.m.wiktionary.org/wiki/讓#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #291470 (CK) & #785828 (fucongcong)
為	<b>為</b>什麼你想知道我在想什麼?	Why do you want to know what I'm thinking?		https://en.m.wiktionary.org/wiki/為#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1390993 (donkirkby) & #767144 (Martha)
也	我不知道，他<b>也</b>不知道。	I don't know and neither does he.		https://en.m.wiktionary.org/wiki/也#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #392157 (CK) & #889654 (Martha)
